accuracy,passes,colour,name
74.1,27,#ff4f00,Robin van Persie
78.4,37,#ff4f00,Wesley Sneijder
65,20,#ff4f00,Dirk Kuyt
62,50,#ff4f00,Mark van Bommel
62.5,8,#ff4f00,Eljero Elia
57.9,19,#ff4f00,Giovanni van Bronckhorst
64.3,42,#ff4f00,Joris Mathijsen
66.7,30,#ff4f00,Johnny Heitinga
77.4,31,#ff4f00,Gregory Van der Wiel
76.5,17,#ff4f00,Arjen Robben
83.9,31,#ff4f00,Nigel de Jong
90.9,11,#ff4f00,Rafael Van der Vaart
50,4,#ff4f00,Edson Braafheid
52.9,34,#ff4f00,Maarten Stekelenburg
92.8,97,#03206B,Xavi
80,55,#03206B,Xabi Alonso
80.3,61,#03206B,Andrés Iniesta
90.8,76,#03206B,Sergio Busquets
85.7,35,#03206B,Francesc Fabregas
73.3,15,#03206B,David Villa
86.7,15,#03206B,Jesús Navas
83.3,24,#03206B,Pedro Rodríguez
85.7,49,#03206B,Sergio Ramos
87.1,62,#03206B,Carles Puyol
73.5,49,#03206B,Joan Capdevila
50,2,#03206B,Fernando Torres
53.3,15,#03206B,Iker Casillas
84.2,57,#03206B,Gerard Piqué
